"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 20 19:26:02 EEST 2019","Tue Aug 20 19:26:11 EEST 2019","8880","tests","test_send_claim","","","","test_send_claim",""
"passed","Tue Aug 20 19:26:34 EEST 2019","Tue Aug 20 19:26:35 EEST 2019","1085","tests","test_sign_up","","","","test_sign_up_negative_password"," Testcase for sign up user.
    Negative. Using incorect password "
"passed","Tue Aug 20 19:25:03 EEST 2019","Tue Aug 20 19:25:06 EEST 2019","2333","tests","test_delete_company","","","","test_delete_company",""
"passed","Tue Aug 20 19:26:44 EEST 2019","Tue Aug 20 19:26:45 EEST 2019","1124","tests","test_sign_up","","","","test_sign_up_negative_email_wrong"," Testcase for sign up user.
    Negative. Using incorect email "
"passed","Tue Aug 20 19:25:16 EEST 2019","Tue Aug 20 19:25:24 EEST 2019","7276","tests","test_forgot_password","","","","test_forgot_password"," Testcase to renew password using email"
"broken","Tue Aug 20 19:26:09 EEST 2019","Tue Aug 20 19:26:43 EEST 2019","33387","tests","test_send_resume","","","","test_send_resume",""
"skipped","Tue Aug 20 19:25:26 EEST 2019","Tue Aug 20 19:25:26 EEST 2019","0","tests","test_forgot_password","","","","test_forgot_password_skiped"," Testcase to renew password using email"
"passed","Tue Aug 20 19:25:13 EEST 2019","Tue Aug 20 19:25:19 EEST 2019","5475","tests","test_create_vacancy","","","","test_create_vacancy",""
"passed","Tue Aug 20 19:25:51 EEST 2019","Tue Aug 20 19:25:52 EEST 2019","1454","tests","test_search","","","","test_1search_button",""
"passed","Tue Aug 20 19:24:10 EEST 2019","Tue Aug 20 19:24:11 EEST 2019","1387","tests","test_admin_check_status_co","","","","test_admin_check_status_co",""
"passed","Tue Aug 20 19:24:40 EEST 2019","Tue Aug 20 19:24:41 EEST 2019","1459","tests","test_admin_companies_presence","","","","test_admin_companies_presence",""
"passed","Tue Aug 20 19:27:02 EEST 2019","Tue Aug 20 19:27:06 EEST 2019","3944","tests","test_update_company_name","","","","test_update_company_name",""
"passed","Tue Aug 20 19:25:56 EEST 2019","Tue Aug 20 19:26:00 EEST 2019","3380","tests","test_send_admin_create_claim","","","","test_admin_create_claim",""
"skipped","Tue Aug 20 19:23:22 EEST 2019","Tue Aug 20 19:23:22 EEST 2019","0","tests","test_admin_block_co","","","","test_block_co",""
"passed","Tue Aug 20 19:25:38 EEST 2019","Tue Aug 20 19:25:42 EEST 2019","4687","tests","test_login_Stas","","","","test_login_logout[admin@gmail.com-admin-Сompanies]"," Testcase for user login.
        Try to login for each user"
"failed","Tue Aug 20 19:25:32 EEST 2019","Tue Aug 20 19:25:34 EEST 2019","1363","tests","test_login_Stas","","","","test_login_logout[user@gmail.com-user-Create company1]"," Testcase for user login.
        Try to login for each user"
"failed","Tue Aug 20 19:27:04 EEST 2019","Tue Aug 20 19:27:05 EEST 2019","1118","tests","test_vacancies","","","","test_vacancies",""
"passed","Tue Aug 20 19:24:49 EEST 2019","Tue Aug 20 19:24:54 EEST 2019","4939","tests","test_create_company","","","","test_create_company","Creation of the company"
"passed","Tue Aug 20 19:25:28 EEST 2019","Tue Aug 20 19:25:29 EEST 2019","1495","tests","test_hotVacancies","","","","test_hot_vacancies",""
"passed","Tue Aug 20 19:25:00 EEST 2019","Tue Aug 20 19:25:04 EEST 2019","4511","tests","test_change_data","","","","test_change_data",""
"passed","Tue Aug 20 19:26:52 EEST 2019","Tue Aug 20 19:26:53 EEST 2019","1800","tests","test_sign_up","","","","test_sign_up_negative_email"," Testcase for sign up user.
    Negative. Using email already registered user"
"passed","Tue Aug 20 19:26:54 EEST 2019","Tue Aug 20 19:26:55 EEST 2019","1197","tests","test_sign_up","","","","test_sign_up_negative_password_mismatch"," Testcase for sign up user.
    Negative. Using differen password and matching password "
"passed","Tue Aug 20 19:26:19 EEST 2019","Tue Aug 20 19:26:26 EEST 2019","6943","tests","test_sign_up","","","","test_sign_up"," Testcase for sign up user. "
"passed","Tue Aug 20 19:25:44 EEST 2019","Tue Aug 20 19:25:48 EEST 2019","4047","tests","test_login_Stas","","","","test_login_logout[cowner@gmail.com-cowner-My companies]"," Testcase for user login.
        Try to login for each user"
